name,abbreviation,transaction_date,amount,price,transaction_id,rate
Celo,CELO,20241008,0.02985658,0.02,8076-8676-0583,0.669869
Nuls,NULS,20241008,1,0.31,0415-7867-0470,0.3067
Oasis Network,ROSE,20241008,1,0.07,4761-3471-6058,0.0649
Internet Computer,ICP,20241007,0.00252735,0.02,0263-8636-0752,7.9134
Siacoin,SC,20241008,4.45434298,0.02,7508-6845-5333,0.00449
IOST,IOST,20241008,4,0.02,7710-4543-3365,0.004727
Viction,VIC,20241008,0.05810068,0.02,6705-5635-5757,0.34423
Komodo,KMD,20241008,0.08267845,0.02,2676-7807-4413,0.241901
Aave,AAVE,20241003,0.01,1.28,3283-3873-0407,127.81
Qubic,QUBIC,20241008,54824,0.11,3632-7535-4438,0.000001828
Bittensor,TAO,20241004,0.00212449,1,7713-8356-2474,470.7
Toncoin,TON,20240827,1.00603621,5,0343-3070-8023,4.97
Toncoin,TON,20240905,0.8,3.44,1866-1067-5133,4.3
Toncoin,TON,20240905,0.43861684,1.89,1353-1841-7155,4.309
Bitcoin,BTC,20210301,0.00296721,136.73,0036-1142-1371,40355.32
Bitcoin,BTC,20210519,0.02370325,798,5233-2458-5822,33061.77
Bitcoin,BTC,20241008,0.00000017,0.01,4088-7333-1132,57639.77
Solana,SOL,20230601,1,19.71,1760-2402-2234,19.70946
Ethereum,ETH,20210524,0.02868449,67.38,2258-8041-5557,1865.28
XRP,XRP,20230602,31.176,15.29,6113-3270-0330,0.487316
Cardano,ADA,20240827,30.14554268,10,0868-6104-8135,0.331724
Aptos,APT,20241014,0.52410901,5,6003-2380-2811,9.54
Aptos,APT,20241004,0.41717049,3.45,5170-4735-1315,8.27
Aptos,APT,20241003,0.1,0.77,3182-6833-5133,7.67
Chainlink,LINK,20241004,1.1,11.11,0045-2278-6723,10.099
Chainlink,LINK,20241004,0.01,0.11,6505-2620-8615,10.099
Cosmos,ATOM,20241004,1,4.17,1530-1564-1035,4.16457
Cosmos,ATOM,20241003,0.3,1.22,7372-1372-6433,4.06515
Cosmos,ATOM,20241003,0.02,0.09,2007-5856-1133,4.06412
Tron,TRX,20241004,28.5,4.13,3355-2404-1550,0.1446784
Tron,TRX,20241003,1.54889437,0.22,3533-7611-7356,0.14203680
Render,RENDER,20240905,1.03803911,4.65,1626-1320-5161,4.4796
Polygon,POL,20240905,9,3.11,5113-5652-4372,0.34483
Polygon,POL,20240905,1,0.35,2076-6720-6084,0.343001
Dogecoin,DOGE,20240906,22,1.96,0000-0373-0818,0.08871896
Dogecoin,DOGE,20240905,2.00526716,0.18,8082-5537-6385,0.0897636
Avalanche,AVAX,20240906,0.11630023,2.3,7123-0134-8856,19.7764
Avalanche,AVAX,20240905,0.01,0.2,3602-0115-1236,19.8098
Stellar,XLM,20240926,20,1.78,5462-0760-0217,0.0888829
Stellar,XLM,20240906,9,0.74,4487-2304-6424,0.08135687
Stellar,XLM,20240905,1,0.09,6280-4113-5536,0.08331328
NEAR Protocol,NEAR,20240926,0.63975204,3.22,4885-6482-4233,5.0332
Osmosis,OSMO,20241003,5,2.49,3586-3653-4653,0.497498
Osmosis,OSMO,20241003,0.1,0.05,2128-0167-2888,0.497453
VeChain,VET,20241008,46.52006643,1,2575-8382-3152,0.0214961
VeChain,VET,20241004,20,0.43,0652-2760-7680,0.0210017
VeChain,VET,20241004,20,0.44,4827-1835-5604,0.0210326
Axelar,AXL,20241004,1,0.59,5874-4114-1113,0.587597
Axelar,AXL,20241004,1,0.59,2332-6036-6205,0.585581
Tezos,XTZ,20241004,1,0.6,4074-0532-4320,0.596
Tezos,XTZ,20241003,1,0.59,0165-7626-3646,0.588
Algorand,ALGO,20240905,9,0.98,1562-7463-5522,0.108406
Algorand,ALGO,20240905,1,0.11,0862-6585-1252,0.108545
BNB,BNB,20241004,0.00197804,1,3465-3776-8282,505.55
Injective,INJ,20241003,0.04,0.74,8868-1736-4421,18.3228
Injective,INJ,20241003,0.02,0.37,6312-7487-0012,18.2972
Arbitrum,ARB,20241003,1,0.49,0743-6542-0424,0.48646
Ontology,ONT,20241004,2,0.33,8722-7840-4016,0.1617
Ontology,ONT,20241003,2,0.33,6388-7658-1613,0.1609
Flare,FLR,20241004,5,0.08,6350-0580-6238,0.0145951
Flare,FLR,20241004,2,0.03,8433-3378-4035,0.0147805
Flare,FLR,20241003,2,0.04,4433-8101-0135,0.015141
Flare,FLR,20241003,1,0.02,3004-6427-1536,0.0151513
Ravencoin,RVN,20241008,1,0.02,5283-6007-0203,0.015801
Ravencoin,RVN,20241008,1,0.02,1132-4474-8250,0.015823
Zilliqa,ZIL,20241008,2,0.03,2046-3321-7238,0.01347
Zilliqa,ZIL,20241008,1,0.02,6662-0832-2073,0.01346
Optimism,OP,20241004,0.02,0.03,8247-5023-3411,1.4543
Optimism,OP,20241004,0.01,0.02,0325-5006-4667,1.4543
DigiByte,DGB,20241008,3.101256,0.02,6322-2205-7366,0.006449
ICON,ICX,20241008,0.15305966,0.02,7802-2255-4402,0.130668
Artificial Superintelligence Alliance,FET,20241003,0.9,1.17,2012-4283-7416,1.2915
Artificial Superintelligence Alliance,FET,20241003,0.1,0.13,4477-6472-0775,1.2899
Pepe,PEPE,20241004,119746.13818704,1,7746-5637-4220,0.000008351
Litecoin,LTC,20241004,0.01,0.6,0086-1616-6213,59.30392
The Graph,GRT,20241004,2,0.29,8441-2458-5002,0.144983
Terra 2.0,LUNA,20241008,0.61652108,0.22,2545-5432-7411,0.356841
ORDI,ORDI,20241008,0.00299693,0.1,3555-5447-5724,33.367385
dogwifhat,WIF,20241008,0.04219671,0.1,5413-6648-4677,2.369853
FC Porto Fan Token,PORTO,20241007,0.0136724,0.02,0284-8014-3488,1.4628
Ren,REN,20241008,1,0.04,5843-8051-0047,0.034506
Polymesh,POLYX,20241007,0.08845643,0.02,1342-4740-5344,0.2261
Dusk,DUSK,20241007,0.10261672,0.02,4234-8246-1724,0.1947
ZKsync,ZK,20241007,0.16474464,0.02,4851-4301-2741,0.1214
io.net,IO,20241007,0.0115002,0.02,8052-4458-3615,1.7391
Bonk,BONK,20241007,952.15424898,0.02,1001-0821-4458,0.000021005
Blur,BLUR,20241007,0.09451795,0.02,4425-5622-0714,0.2116
Numeraire,NMR,20241007,0.00141701,0.02,1245-4223-1445,14.1142
Sleepless AI,AI,20241007,0.05204267,0.02,0068-2050-5701,0.3843
iExec RLC,RLC,20241007,0.01424602,0.02,1418-8034-0871,1.4039
Renzo,REZ,20241007,0.56022408,0.02,3437-8312-7763,0.0357
Ethena,ENA,20241007,0.07434667,0.02,1833-1265-4682,0.26901
Origin Protocol,OGN,20241007,0.25575447,0.02,0056-2323-0378,0.0782
Chromia,CHR,20241007,0.11635686,0.02,4713-1863-3247,0.171885
Tensor,TNSR,20241007,0.06075094,0.02,4333-2388-2558,0.329213
BOOK OF MEME,BOME,20241007,3.22790511,0.02,1145-0242-0076,0.006195969
Sei,SEI,20241007,0.04854816,0.02,3028-8212-2018,0.411962
Shiba Inu,SHIB,20241007,1199.61612284,0.02,7458-6543-2058,0.000016672
Pyth Network,PYTH,20241007,0.06383436,0.02,0708-7820-0343,0.313310841
JasmyCoin,JASMY,20241007,1,0.02,3457-8782-3575,0.018633354
Starknet,STRK,20241007,0.05355921,0.02,0063-8050-1875,0.373418437
Celestia,TIA,20241007,0.00390772,0.02,8822-8668-6404,5.11807
Metis,METIS,20241007,0.00059941,0.02,7744-7710-2815,33.366064
FLOKI,FLOKI,20241007,152.3229246,0.02,8017-3386-3864,0.0001313
Jupiter,JUP,20241007,0.02728297,0.02,8655-3204-0200,0.733057986
Dymension,DYM,20241007,0.01400202,0.02,6458-5708-8327,1.428364332
Portal,PORTAL,20241007,0.07541478,0.02,4545-7024-7372,0.2652
Ronin,RONIN,20241007,0.01317889,0.02,4827-1486-1312,1.517578409
Polkadot,DOT,20241007,0.00518847,0.02,8236-8157-5448,3.8547
Uniswap,UNI,20241007,0.00290343,0.02,6516-3833-7581,6.8884
Bitcoin Cash,BCH,20241007,0.0000651,0.02,2520-6405-3080,307.21
Worldcoin,WLD,20241007,0.01054407,0.02,5483-6063-0641,1.8968
Quant,QNT,20241007,0.00031456,0.02,5803-6385-7035,63.58
Ethereum Classic,ETC,20241007,0.00113619,0.02,6107-3027-0455,17.6026
COMBO,COMBO,20241007,0.05135249,0.02,0871-2710-5201,0.389465
PENDLE,PENDLE,20241007,0.00534443,0.02,3477-8710-8824,3.742211
Sui,SUI,20241007,0.01019679,0.02,8108-1778-6460,1.9614
Stargate Finance,STG,20241007,0.07112198,0.02,4781-2744-5035,0.281207
Perpetual Protocol,PERP,20241007,0.03642728,0.02,6615-8828-0167,0.549039
dYdX,DYDX,20241007,0.02322367,0.02,5542-4858-2336,0.86119
WOO Network,WOO,20241007,0.11717834,0.02,7413-1183-3226,0.17068
ApeCoin,APE,20241007,0.02874389,0.02,1181-0661-2387,0.6958
Filecoin,FIL,20241007,0.00564174,0.02,2841-7326-4346,3.5450
Hedera Hashgraph,HBAR,20241007,0.39631215,0.02,6337-8340-8455,0.05046527
Multiversx,EGLD,20241007,0.00081433,0.02,8207-5327-5753,24.56
EOS,EOS,20241007,0.04487232,0.02,2223-6055-4025,0.445709
THETA,THETA,20241007,0.01607379,0.02,2785-4680-5603,1.244261
Audius,AUDIO,20241007,0.16804604,0.02,7347-2440-2757,0.119015
Illuvium,ILV,20241007,0.00056641,0.02,8230-8143-1433,35.31
Enjin,ENJ,20241007,0.14074595,0.02,1424-6554-0777,0.1421
Chiliz,CHZ,20241007,0.33264586,0.02,6776-5374-5238,0.060124
Lazio Fan Token,LAZIO,20241007,0.01440299,0.02,7535-0707-1565,1.3886
Santos FC Fan Token,SANTOS,20241007,0.00590127,0.02,6085-8873-5643,3.3891
Manchester City Fan Token,CITY,20241007,0.01054907,0.02,5015-7234-4036,1.8959
PSG Fan Token,PSG,20241007,0.00940379,0.02,4885-3785-0300,2.1268
AC Milan Fan Token,ACM,20241007,0.01419345,0.02,1867-1830-4777,1.4091
Atletico De Madrid Fan Token,ATM,20241007,0.01022965,0.02,1567-1430-7585,1.9551
Juventus Fan Token,JUV,20241007,0.01313283,0.02,5768-8075-3731,1.5229
FC Barcelona Fan Token,BAR,20241007,0.01235559,0.02,4052-7227-2440,1.6187
Axie Infinity,AXS,20241007,0.00456621,0.02,5752-6624-8771,4.38
Decentraland,MANA,20241007,0.07194244,0.02,0755-6155-3653,0.278
The Sandbox,SAND,20241007,0.08314279,0.02,7847-1012-4773,0.24055
STEPN,GMT,20241007,0.15903307,0.02,0545-0533-0646,0.12576
Flow,FLOW,20241007,0.03891762,0.02,3145-2502-0416,0.513906
Travala.com,AVA,20241007,0.04252324,0.02,0168-4013-0022,0.470331
Mina,MINA,20241007,0.03923722,0.02,7462-4286-8348,0.50972
Flamingo,FLM,20241007,0.38684719,0.02,6783-8273-5273,0.0517
Ethereum Name Service,ENS,20241007,0.00124543,0.02,16.0586
Biswap,BSW,20241007,0.35198873,0.02,0873-3644-5676,0.05682
RSK Infrastructure Framework,RIF,20241007,0.23204548,0.02,2261-4111-4880,0.08619
IDEX,IDEX,20241008,0.54824561,0.02,1266-6246-4016,0.03648
Terra Classic,LUNC,20241008,237.98191337,0.02,5832-7461-5621,0.00008404
Fantom,FTM,20241008,0.03092447,0.02,4600-3353-0171,0.646737
IOTA,IOTA,20241008,0.17228012,0.02,7734-0755-2528,0.11609
PancakeSwap,CAKE,20241008,0.01142857,0.02,0201-3254-8127,1.75
Kusama,KSM,20241008,0.00117785,0.02,7122-8374-6073,16.98
Gala,GALA,20241008,1,0.02,1560-6151-8725,0.01980
Curve DAO Token,CRV,20241008,0.08300132,0.02,2157-7825-5184,0.24096
Loopring,LRC,20241008,0.17150158,0.02,1203-2164-5532,0.116617
THORChain,RUNE,20241008,0.0043019,0.02,2802-0304-0060,4.6491
Smooth Love Potion,SLP,20241008,9,0.02,3756-7832-0730,0.00221102
Basic Attention Token,BAT,20241008,0.1232005,0.02,3287-2673-5476,0.162337
Compound,COMP,20241008,0.00048473,0.02,0252-6434-8163,41.26
BitTorrent,BTTC,20241008,23165,0.02,7018-2435-8770,0.0000008633
Stacks,STX,20241008,0.01228765,0.02,3135-5110-8437,1.62765
Synthetix Network Token,SNX,20241008,0.01478743,0.02,4134-7853-1468,1.3525
Yearn.finance,YFI,20241008,0.00000429,0.02,1811-7455-2106,4660.2
SushiSwap,SUSHI,20241008,0.02906068,0.02,4554-7775-1658,0.688215
Holo,HOT,20241008,13.48663137,0.02,0336-0505-2521,0.00148295
0x,ZRX,20241008,0.06842519,0.02,4431-0735-1171,0.29229
Qtum,QTUM,20241008,0.00869996,0.02,3564-0838-5032,2.29886
Nano,XNO,20241008,0.02465094,0.02,3485-5081-2554,0.811328
Pundi X,PUNDIX,20241008,0.0519045,0.02,7777-7365-3011,0.385323
Maker,MKR,20241008,0.00001533,0.02,1528-5011-7574,1304.12
1inch,1INCH,20241008,0.08166965,0.02,1270-2863-1678,0.244889
Multi-collateral DAI,DAI,20241008,0.02160086,0.02,5532-4471-7851,0.925889
DIA,DIA,20241008,0.02809324,0.02,4305-2160-7361,0.711915
DODO,DODO,20241008,0.17711654,0.02,1561-6870-6684,0.11292
Reserve Rights,RSR,20241008,3.06419488,0.02,5533-4745-2160,0.006527
Lisk,LSK,20241008,0.02638358,0.02,8555-0753-8330,0.758047
Balancer,BAL,20241008,0.01069518,0.02,8372-6048-2670,1.87
Kyber Network,KNC,20241008,0.04695938,0.02,5142-8072-0325,0.4259
Wrapped Bitcoin,WBTC,20241008,0.00000034,0.02,8681-4367-3074,57967.39
Swipe,SXP,20241008,0.09050756,0.02,4703-0147-8181,0.220976
TrueUSD,TUSD,20241008,0.02159827,0.02,5442-1711-8030,0.926
Trust Wallet Token,TWT,20241008,0.01981767,0.02,1546-1340-6730,1.0092
Syscoin,SYS,20241008,0.21047314,0.02,3778-4077-0171,0.095024
Moonriver,MOVR,20241008,0.00226241,0.02,7214-5400-6716,8.8401
COTI,COTI,20241008,0.20953378,0.02,8342-7862-4175,0.09545
GMX,GMX,20241008,0.00099453,0.02,0248-3508-2708,20.11
Moonbeam,GLMR,20241008,0.1293017,0.02,8371-4441-5550,0.154677
Hive,HIVE,20241008,0.10809934,0.02,4200-7112-0057,0.185015
Steem,STEEM,20241008,0.11752883,0.02,3614-7433-2562,0.170171
Stratis,STRAX,20241008,0.43383947,0.02,8827-5117-2215,0.0461
Power Ledger,POWR,20241008,0.0990099,0.02,0320-5184-2471,0.202
Ankr,ANKR,20241008,0.78771169,0.02,8228-8022-5780,0.02539
Dent,DENT,20241008,25.29820256,0.02,2314-7455-3235,0.00079057
Ampleforth Governance Token,FORTH,20241008,0.00668292,0.02,5323-2038-0084,2.9927
Rocket Pool,RPL,20241008,0.00202548,0.02,7181-0588-5331,9.8742
Tether,USDT,20241008,0.02162402,0.02,2834-7364-7770,0.924897
Eurite,EURI,20241008,0.01941747,0.02,2383-8667-3186,1.03
USD Coin,USDC,20241008,0.02160987,0.02,2484-0210-0802,0.925503
LayerZero,ZRO,20241007,0.00501127,0.02,1774-7063-5324,3.991
Notcoin,NOT,20241007,2.73410799,0.02,1745-0457-5567,0.007315
Marlin,POND,20241007,1,0.02,8202-2522-4802,0.01121
Saga,SAGA,20241007,0.00836757,0.02,7762-6527-0136,2.390178
TrueFi,TRU,20241007,0.25222271,0.02,5303-5483-8541,0.079295
Wormhole,W,20241007,0.06420133,0.02,0775-6747-6845,0.31152
AltLayer,ALT,20241007,0.18440633,0.02,3087-3153-2281,0.108456145
Maverick Protocol,MAV,20241007,0.11447082,0.02,8612-2488-5726,0.174717
Conflux,CFX,20241007,0.11170064,0.02,8365-7580-3533,0.17905
Convex Finance,CVX,20241007,0.01063988,0.02,4231-2187-2742,1.87972
AirDAO,AMB,20241007,3,0.02,2822-8055-8383,0.006273
Phoenix Global,PHB,20241007,0.01039501,0.02,1154-6064-1178,1.924
Harmony,ONE,20241008,1,0.02,4207-7180-0343,0.01294
BEAM,BEAMX,20241008,1,0.02,0106-8378-5038,0.014302
Celer Network,CELR,20241008,1,0.02,3741-8355-3712,0.011810
ImmutableX,IMX,20241008,0.01464879,0.02,2662-4037-3177,1.3653
Scroll,SCR,20241023,0.01011122,0.01,5318-7613-3877,0.989
VeThor,VTHO,,,,